Neighborhood,Release
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Garfield,7524.0
East Liberty,7524.0
Morningside,7524.0
Lower Lawrenceville,7524.0
Polish Hill,7524.0
Bloomfield,7524.0
Central Lawrenceville,7524.0
Stanton Heights,7524.0
Strip District,7524.0
Upper Lawrenceville,7524.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Marshall-Shadeland,5.0
Brighton Heights,5.0
Marshall-Shadeland,0.0
Brighton Heights,0.0
Marshall-Shadeland,0.0
Brighton Heights,0.0
Marshall-Shadeland,0.0
Brighton Heights,0.0
Fairywood,361.0
Crafton Heights,361.0
Chartiers City,361.0
Esplen,361.0
Sheraden,361.0
Windgap,361.0
Elliott,361.0
Fairywood,0.0
Crafton Heights,0.0
Chartiers City,0.0
Esplen,0.0
Sheraden,0.0
Windgap,0.0
Elliott,0.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,750.0
Allegheny West,750.0
Manchester,750.0
Marshall-Shadeland,750.0
Central Northside,750.0
Allegheny Center,750.0
Brighton Heights,750.0
California-Kirkbride,750.0
Chateau,750.0
North Shore,10337.0
Allegheny West,10337.0
Manchester,10337.0
Marshall-Shadeland,10337.0
Central Northside,10337.0
Allegheny Center,10337.0
Brighton Heights,10337.0
California-Kirkbride,10337.0
Chateau,10337.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,750.0
Allegheny West,750.0
Manchester,750.0
Marshall-Shadeland,750.0
Central Northside,750.0
Allegheny Center,750.0
Brighton Heights,750.0
California-Kirkbride,750.0
Chateau,750.0
North Shore,0.0
Allegheny West,0.0
Manchester,0.0
Marshall-Shadeland,0.0
Central Northside,0.0
Allegheny Center,0.0
Brighton Heights,0.0
California-Kirkbride,0.0
Chateau,0.0
North Shore,5.0
Allegheny West,5.0
Manchester,5.0
Marshall-Shadeland,5.0
Central Northside,5.0
Allegheny Center,5.0
Brighton Heights,5.0
California-Kirkbride,5.0
Chateau,5.0
East Carnegie,0.0
East Carnegie,250.0
Point Breeze North,0.0
Squirrel Hill North,0.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Homewood North,0.0
Larimer,0.0
Lincoln-Lemington-Belmar,0.0
Highland Park,0.0
Friendship,0.0
Homewood West,0.0
